Package,Class name,Statement Coverage,(2) % Statement coverage,(4) McCabe complexity
org.apache.commons.collections4.functors,NotPredicate,0.833333333,83.33333333,5
org.apache.commons.collections4.functors,TransformerPredicate,0.888888889,88.88888889,5
org.apache.commons.collections4.functors,NOPClosure,1,100,4
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,1,100,34
org.apache.commons.collections4.bidimap,TreeBidiMap.InverseViewMapIterator,0.916666667,91.66666667,8
org.apache.commons.collections4.bidimap,TreeBidiMap,0.931034483,93.10344828,192
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.Values,1,100,5
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.MapEntry,1,100,4
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.KeySetIterator,1,100,4
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.EntrySet,1,100,8
org.apache.commons.collections4.bidimap,TreeBidiMap.InverseViewMapEntryIterator,0.833333333,83.33333333,4
org.apache.commons.collections4.bidimap,TreeBidiMap.ViewMapIterator,0.916666667,91.66666667,8
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,0.333333333,33.33333333,8
org.apache.commons.collections4.bidimap,DualLinkedHashBidiMap,0.823529412,82.35294118,6
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.BidiMapIterator,0.891891892,89.18918919,16
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.View,1,100,20
org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,0.777777778,77.77777778,8
org.apache.commons.collections4.bidimap,TreeBidiMap.ValueView,1,100,6
org.apache.commons.collections4.bidimap,TreeBidiMap.KeyView,1,100,6
org.apache.commons.collections4.bidimap,TreeBidiMap.ViewIterator,0.692307692,69.23076923,16
org.apache.commons.collections4.bidimap,UnmodifiableBidiMap,1,100,14
org.apache.commons.collections4.bidimap,TreeBidiMap.Inverse,0.739130435,73.91304348,33
org.apache.commons.collections4.bidimap,TreeBidiMap.Node,0.960784314,96.07843137,33
org.apache.commons.collections4.bidimap,TreeBidiMap.EntryView,0.947368421,94.73684211,10
org.apache.commons.collections4.bidimap,DualTreeBidiMap,0.85,85,26
org.apache.commons.collections4.bidimap,DualTreeBidiMap.ViewMap,0.615384615,61.53846154,10
org.apache.commons.collections4.bidimap,DualHashBidiMap,0.823529412,82.35294118,6
org.apache.commons.collections4.bidimap,TreeBidiMap.View,1,100,3
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.KeySet,1,100,5
org.apache.commons.collections4.bidimap,TreeBidiMap.DataElement,1,100,3
org.apache.commons.collections4.bidimap,DualTreeBidiMap.BidiOrderedMapIterator,0.828571429,82.85714286,17
org.apache.commons.collections4.bidimap,UnmodifiableOrderedBidiMap,1,100,15
