Package,Class name,Branch Coverage,(1) % Branch coverage,(4) McCabe complexity
org.apache.commons.collections4.trie,AbstractPatriciaTrie.TrieEntry,0.692307692,69.23076923,18
org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntrySet.EntryIterator,1,100,8
org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntrySet,0.964285714,96.42857143,20
org.apache.commons.collections4.trie,AbstractPatriciaTrie.EntrySet,0.9,90,11
org.apache.commons.collections4.trie,KeyAnalyzer,0.428571429,42.85714286,13
org.apache.commons.collections4.trie,UnmodifiableTrie,1,100,28
org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeEntrySet.SingletonIterator,0.5,50,7
org.apache.commons.collections4.trie,AbstractBitwiseTrie.BasicEntry,0.833333333,83.33333333,15
org.apache.commons.collections4.trie,AbstractPatriciaTrie.TrieMapIterator,0.916666667,91.66666667,15
org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeEntrySet.EntryIterator,0.9,90,9
org.apache.commons.collections4.trie,AbstractPatriciaTrie,0.655172414,65.51724138,196
org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeMap,0.9,90,35
org.apache.commons.collections4.trie,AbstractPatriciaTrie.Values,1,100,8
org.apache.commons.collections4.trie,AbstractBitwiseTrie,0.777777778,77.77777778,19
org.apache.commons.collections4.list,NodeCachingLinkedList,1,100,20
org.apache.commons.collections4.list,TreeList,0.888888889,88.88888889,25
org.apache.commons.collections4.list,TransformedList,0.875,87.5,20
org.apache.commons.collections4.list,AbstractLinkedList,0.91,91,99
org.apache.commons.collections4.list,CursorableLinkedList.SubCursor,1,100,8
org.apache.commons.collections4.list,AbstractLinkedList.LinkedListIterator,1,100,19
org.apache.commons.collections4.list,UnmodifiableList,1,100,18
org.apache.commons.collections4.list,AbstractListDecorator,1,100,17
org.apache.commons.collections4.list,GrowthList,0.6,60,12
org.apache.commons.collections4.list,CursorableLinkedList.Cursor,0.884615385,88.46153846,22
org.apache.commons.collections4.list,CursorableLinkedList,0.708333333,70.83333333,33
org.apache.commons.collections4.list,SetUniqueList,1,100,33
org.apache.commons.collections4.list,AbstractLinkedList.LinkedSubList,0.6875,68.75,22
org.apache.commons.collections4.list,SetUniqueList.SetListListIterator,1,100,7
org.apache.commons.collections4.list,AbstractLinkedList.LinkedSubListIterator,1,100,8
org.apache.commons.collections4.list,PredicatedList,1,100,18
org.apache.commons.collections4.list,TreeList.AVLNode,0.902777778,90.27777778,106
org.apache.commons.collections4.list,LazyList,0.857142857,85.71428571,14
org.apache.commons.collections4.list,TreeList.TreeListIterator,0.954545455,95.45454545,22
org.apache.commons.collections4.functors,ComparatorPredicate,0.9375,93.75,14
org.apache.commons.collections4.functors,MapTransformer,1,100,5
org.apache.commons.collections4.functors,PrototypeFactory.PrototypeSerializationFactory,1,100,3
org.apache.commons.collections4.functors,InstantiateTransformer,0.583333333,58.33333333,18
org.apache.commons.collections4.functors,OrPredicate,1,100,6
org.apache.commons.collections4.functors,NotNullPredicate,1,100,5
org.apache.commons.collections4.functors,NonePredicate,1,100,8
org.apache.commons.collections4.functors,ForClosure,1,100,9
org.apache.commons.collections4.functors,WhileClosure,1,100,8
org.apache.commons.collections4.functors,ChainedTransformer,1,100,10
org.apache.commons.collections4.functors,TransformerClosure,1,100,5
org.apache.commons.collections4.functors,NullPredicate,1,100,5
org.apache.commons.collections4.functors,AnyPredicate,0.916666667,91.66666667,10
org.apache.commons.collections4.functors,IdentityPredicate,1,100,6
org.apache.commons.collections4.functors,IfTransformer,1,100,8
org.apache.commons.collections4.functors,PredicateTransformer,1,100,5
org.apache.commons.collections4.functors,SwitchTransformer,0.916666667,91.66666667,20
org.apache.commons.collections4.functors,EqualPredicate,1,100,9
org.apache.commons.collections4.functors,NullIsExceptionPredicate,1,100,5
org.apache.commons.collections4.functors,ConstantTransformer,0.214285714,21.42857143,15
org.apache.commons.collections4.functors,InstantiateFactory,0.75,75,15
org.apache.commons.collections4.functors,NullIsFalsePredicate,1,100,5
org.apache.commons.collections4.functors,PrototypeFactory,1,100,3
org.apache.commons.collections4.functors,CloneTransformer,1,100,4
org.apache.commons.collections4.functors,DefaultEquator,0.75,75,9
org.apache.commons.collections4.functors,PrototypeFactory.PrototypeCloneFactory,0.5,50,4
org.apache.commons.collections4.functors,ChainedClosure,1,100,11
org.apache.commons.collections4.functors,ConstantFactory,1,100,6
org.apache.commons.collections4.functors,NullIsTruePredicate,1,100,5
org.apache.commons.collections4.functors,InvokerTransformer,0.833333333,83.33333333,17
org.apache.commons.collections4.functors,FunctorUtils,0.863636364,86.36363636,21
org.apache.commons.collections4.functors,SwitchClosure,0.909090909,90.90909091,19
org.apache.commons.collections4.functors,IfClosure,1,100,9
org.apache.commons.collections4.functors,OnePredicate,0.9,90,9
